Image URL,Credit,Caption,Alt text
paraphilia chrome.png,cytochrome-sea,paraphilia,a red heart with black goop dropping off it
paraphilia bh.png,Blackholemojis,paraphilia,a brain with a magnet and a padlock
disordered paraphilia bh.png,Blackholemojis,disordered paraphilia,"a brain with a magnet and a padlock, and red and orange accent marks around it"
mechanophilia meabh.png,Méabh,mechanophilia,"A drawing of a blue gear, dark purple wrench and periwinkle washer in-front of a tan file with a red arrow pointing from the mechanical parts to the file. On the file there are three pink-ish red hearts."
anti contact chrome.png,cytochrome-sea,anti contact,a hand crossed out pointing to a red heart with black goop dripping off it
necrophilia chrome.png,cytochrome-sea,necrophilia,a red heart dripping black goop. a grey body lying down with an x over the eyes is in the heart
plushophilia meabh.png,Méabh,plushophilia,A drawing of a purple stuffed bunny and blue stuffed bear in-front of a tan file with a red arrow pointing from the plushies to the file. On the file there are three pink-ish red hearts.
objectophilia meabh.png,Méabh,objectophilia,A drawing of a blue circle and a purple traingle in-front of a tan file with a red arrow pointing from the shapes to the file. On the file there are three pink-ish red hearts.
pedophilia chrome.png,cytochrome-sea,pedophilia,a red heart dripping black goop. a child holding a plushie is in the heart
pyrophilia chrome.png,cytochrome-sea,pyrophilia,a red heart dripping black goop. a fire is in the heart
teratophilia meabh.png,Méabh,teratophilia,A drawing of a yellow person hugging a big purple tentacle in-front of a tan file with a red arrow pointing from the shapes to the file. On the file there are three pink-ish red hearts.
pro contact chrome.png,cytochrome-sea,pro contact,a hand pointing to a red heart with black goop dripping off it
teleiophilia caused by trauma meabh.png,Méabh,teleiophilia (caused by trauma),A drawing of a small simplified yellow person with the numbers 18+ replacing their face in-front of a tan file with a red arrow pointing from the person to the file. On the file there are three pink-ish red hearts with dark red splotches on them.
zoophilia chrome.png,cytochrome-sea,zoophilia,a red heart dripping black goop. a paw is in the heart
